t,pN,pE,pD,vN,vE,vD,roll_deg,pitch_deg,yaw_deg,lat_deg,lon_deg,alt_m,gps_updates,gps_attempts,baro_updates,baro_attempts,yaw_updates,yaw_attempts,mag_updates,mag_attempts,ba_x,ba_y,ba_z,bg_x,bg_y,bg_z
669.1549,-1.187,-0.657,-0.375,-0.000,-0.000,-0.000,-0.93,-1.95,93.09,52.0483038,-0.7490044,137.07,2,3,1,1,0,0,1,1,0.000000,0.000000,0.000000,-0.1069814,0.0017160,0.0038824
669.2680,-1.187,-0.657,-0.375,-0.000,-0.001,0.003,-0.90,-2.00,92.23,52.0483038,-0.7490044,137.07,2,3,1,1,0,0,2,2,0.000000,0.000000,0.000000,-0.1069814,0.0017160,0.0055540
669.3708,-1.187,-0.658,0.091,0.001,0.001,0.010,-0.93,-2.00,92.79,52.0483038,-0.7490044,136.61,2,3,2,2,0,0,3,3,-0.000000,0.000000,-0.000002,-0.1069814,0.0017161,-0.0001950
669.4738,-1.187,-0.657,0.231,0.003,0.003,0.011,-0.92,-2.00,92.70,52.0483038,-0.7490044,136.47,2,3,3,3,0,0,4,4,-0.000001,0.000001,-0.000040,-0.1069814,0.0017160,0.0022984
669.5898,-1.186,-0.657,0.336,0.003,0.002,0.013,-0.95,-2.02,93.49,52.0483038,-0.7490044,136.36,2,3,4,4,0,0,5,5,-0.000005,0.000003,-0.000157,-0.1069813,0.0017164,-0.0205761
669.7187,-1.186,-0.656,0.390,0.002,0.006,0.022,-0.94,-2.07,93.19,52.0483038,-0.7490044,136.31,2,3,5,5,0,0,6,6,-0.000011,0.000005,-0.000309,-0.1069813,0.0017161,-0.0051742
669.8495,-1.186,-0.655,0.219,0.003,0.009,0.021,-0.91,-2.17,92.84,52.0483038,-0.7490044,136.48,2,3,6,6,0,0,7,7,0.000025,-0.000012,0.000729,-0.1069814,0.0017154,0.0073504
669.9814,-3.091,-1.827,0.131,-0.001,0.013,0.018,-0.88,-2.20,92.53,52.0482867,-0.7490215,136.57,3,4,7,7,0,0,8,8,0.000333,-0.000526,0.001654,-0.1071267,0.0016327,0.0148527
670.1109,-3.091,-1.825,0.089,-0.001,0.015,0.019,-0.89,-2.16,92.88,52.0482867,-0.7490214,136.61,3,4,8,8,0,0,9,9,0.000360,-0.000539,0.002413,-0.1071278,0.0016341,0.0041841
670.2452,-3.091,-1.823,0.078,-0.002,0.021,0.019,-0.85,-2.13,92.81,52.0482867,-0.7490214,136.62,3,4,9,9,0,0,10,10,0.000372,-0.000544,0.002773,-0.1071278,0.0016336,0.0054682
670.3790,-3.092,-1.820,0.111,-0.008,0.025,0.030,-0.74,-2.13,92.79,52.0482867,-0.7490214,136.59,3,4,10,10,0,0,11,11,0.000333,-0.000527,0.001683,-0.1071278,0.0016349,0.0057348
670.5137,-3.093,-1.817,0.084,-0.010,0.026,0.032,-0.72,-2.11,92.60,52.0482867,-0.7490213,136.62,3,4,11,11,0,0,12,12,0.000388,-0.000551,0.003206,-0.1071275,0.0016325,0.0090114
670.6476,-3.095,-1.813,0.054,-0.016,0.028,0.037,-0.71,-2.21,92.37,52.0482867,-0.7490213,136.65,3,4,12,12,0,0,13,13,0.000468,-0.000586,0.005435,-0.1071266,0.0016288,0.0123304
670.7802,-3.098,-1.809,0.102,-0.027,0.032,0.045,-0.71,-2.18,92.06,52.0482867,-0.7490212,136.60,3,4,13,13,0,0,14,14,0.000345,-0.000533,0.002012,-0.1071295,0.0016345,0.0160828
670.9181,-4.243,-2.479,0.036,-0.062,0.017,0.028,-0.53,-2.06,92.07,52.0482764,-0.7490310,136.66,4,5,14,14,0,0,15,15,0.001766,-0.002867,0.008843,-0.1087242,0.0008498,0.0144749
671.0530,-4.252,-2.477,-0.001,-0.072,0.022,0.013,-0.50,-2.06,92.06,52.0482763,-0.7490309,136.70,4,5,15,15,0,0,16,16,0.001932,-0.002937,0.013429,-0.1087301,0.0008674,0.0135674
671.1863,-4.263,-2.473,-0.028,-0.084,0.022,0.005,-0.51,-2.07,92.30,52.0482762,-0.7490309,136.73,4,5,16,16,0,0,17,17,0.002069,-0.002993,0.017181,-0.1087636,0.0009514,0.0097115
671.3204,-4.275,-2.469,-0.032,-0.095,0.023,-0.001,-0.51,-2.08,92.61,52.0482761,-0.7490308,136.73,4,5,17,17,0,0,18,18,0.002088,-0.003001,0.017702,-0.1087780,0.0010324,0.0055892
671.4557,-4.288,-2.466,-0.059,-0.102,0.024,-0.010,-0.49,-2.08,92.53,52.0482760,-0.7490308,136.76,4,5,18,18,0,0,19,19,0.002238,-0.003062,0.021841,-0.1087657,0.0010136,0.0062582
671.5883,-4.302,-2.463,-0.062,-0.108,0.027,-0.018,-0.48,-2.04,92.38,52.0482758,-0.7490307,136.76,4,5,19,19,0,0,20,20,0.002243,-0.003064,0.021977,-0.1087698,0.0010025,0.0075727
671.7233,-4.317,-2.459,-0.065,-0.119,0.028,-0.019,-0.46,-2.14,92.44,52.0482757,-0.7490307,136.76,4,5,20,20,0,0,21,21,0.002247,-0.003065,0.022073,-0.1087658,0.0010045,0.0067647
671.8578,-4.335,-2.455,-0.067,-0.133,0.035,-0.019,-0.41,-2.16,92.29,52.0482755,-0.7490306,136.77,4,5,21,21,0,0,22,22,0.002248,-0.003066,0.022121,-0.1087755,0.0010099,0.0082825
671.9938,-5.102,-2.818,-0.122,-0.360,0.016,-0.045,0.44,-2.17,92.70,52.0482686,-0.7490359,136.82,5,6,22,22,0,0,23,23,0.004522,-0.006649,0.030840,-0.1138633,0.0008768,0.0044941
672.1312,-4.833,-2.826,-0.118,0.003,0.002,0.007,-0.95,-1.97,92.94,52.0482711,-0.7490360,136.82,5,6,23,23,0,0,24,24,0.000076,-0.000036,0.001299,-0.1054884,-0.0001595,0.0025011
672.2677,-4.813,-2.799,-0.130,-0.002,0.002,0.000,-0.83,-1.84,92.62,52.0482712,-0.7490356,136.83,5,6,24,24,0,0,25,25,-0.000018,0.000044,0.002455,-0.1063668,-0.0013580,0.0052630
672.4000,-4.813,-2.798,-0.145,-0.004,0.001,0.003,-0.83,-1.79,92.85,52.0482712,-0.7490356,136.85,5,6,25,25,0,0,26,26,-0.000020,0.000048,0.002434,-0.1064164,-0.0013469,0.0033529
672.5361,-4.827,-2.800,-0.146,-0.005,-0.004,0.002,-0.94,-1.80,93.12,52.0482711,-0.7490357,136.85,5,6,26,26,0,0,27,27,0.000053,-0.000047,0.003550,-0.1058239,-0.0012522,0.0012854
672.6724,-4.830,-2.808,-0.140,-0.000,-0.003,0.006,-0.97,-1.86,93.04,52.0482711,-0.7490358,136.84,5,6,27,27,0,0,28,28,0.000133,-0.000081,0.004069,-0.1055363,-0.0006859,0.0021236
672.8050,-4.830,-2.809,-0.126,0.000,-0.002,0.008,-0.98,-1.92,93.00,52.0482711,-0.7490358,136.83,5,6,28,28,0,0,29,29,0.000309,-0.000134,0.007480,-0.1055402,-0.0000048,0.0024254
672.9440,-5.197,-2.965,-0.116,0.004,-0.002,0.016,-0.98,-1.90,92.99,52.0482678,-0.7490380,136.82,6,7,29,29,0,0,30,30,0.000309,-0.000133,0.007485,-0.1055399,-0.0000081,0.0025824
673.0681,-5.201,-2.963,-0.109,0.003,-0.003,0.011,-0.98,-1.92,92.91,52.0482678,-0.7490380,136.81,6,7,30,30,0,0,31,31,0.000464,-0.000152,0.011819,-0.1060705,0.0001932,0.0033028
673.2004,-5.207,-2.963,-0.128,0.002,-0.000,0.007,-0.94,-1.95,92.88,52.0482677,-0.7490380,136.83,6,7,31,31,0,0,32,32,0.000510,-0.000145,0.013312,-0.1064710,0.0002428,0.0035069
673.3368,-5.207,-2.963,-0.134,0.002,0.004,0.011,-0.94,-1.94,92.97,52.0482677,-0.7490380,136.83,6,7,32,32,0,0,33,33,0.000510,-0.000145,0.013310,-0.1064867,0.0002483,0.0029923
673.4734,-5.211,-2.970,-0.150,-0.000,0.004,0.005,-0.89,-1.91,92.94,52.0482677,-0.7490381,136.85,6,7,33,33,0,0,34,34,0.000544,-0.000168,0.015498,-0.1067213,-0.0001352,0.0031658
