t,lat_deg,lon_deg,alt_m,vN,vE,hdop,accepted,course_deg,yaw_std_deg,yaw_accepted
669.1549,52.0483145,-0.7489948,136.70,0.000,0.000,4.36,1,,,
669.1549,52.0482932,-0.7490140,138.50,0.000,0.000,4.36,1,,,
669.1549,52.0482743,-0.7490370,139.30,0.000,0.000,4.36,0,,,
669.8928,52.0482525,-0.7490557,141.30,0.000,0.000,4.36,1,,,
670.8685,52.0482463,-0.7490598,142.30,0.000,0.000,4.35,1,,,
671.8895,52.0482493,-0.7490558,142.40,0.000,0.000,4.35,1,,,
672.8946,52.0482513,-0.7490493,143.00,0.000,0.000,4.35,1,,,
673.8988,52.0482563,-0.7490390,143.50,0.000,0.000,4.35,1,,,
674.8894,52.0482615,-0.7490355,143.20,0.000,0.000,4.35,1,,,
675.8693,52.0482645,-0.7490393,142.40,0.000,0.000,4.35,1,,,
676.8856,52.0482640,-0.7490382,142.50,0.000,0.000,4.35,1,,,
677.8808,52.0482650,-0.7490368,142.60,0.000,0.000,4.35,1,,,
678.8965,52.0482685,-0.7490368,142.20,0.000,0.000,4.35,1,,,
679.8887,52.0482768,-0.7490325,142.10,0.000,0.000,4.35,1,,,
680.8675,52.0482823,-0.7490222,142.90,0.000,0.000,4.35,1,,,
681.8829,52.0482867,-0.7490180,142.50,0.000,0.000,4.35,1,,,
682.8893,52.0482850,-0.7490203,142.30,0.000,0.000,4.34,1,,,
683.8884,52.0482917,-0.7490170,141.50,0.000,0.000,4.34,1,,,
684.8953,52.0483082,-0.7490132,139.30,0.000,0.000,4.34,1,,,
685.8485,52.0483140,-0.7490062,139.10,0.000,0.000,4.34,1,,,
686.8949,52.0483175,-0.7490050,138.60,0.000,0.000,4.34,1,,,
687.8652,52.0483215,-0.7490027,138.80,0.000,0.000,4.34,1,,,
688.8899,52.0483257,-0.7490017,137.80,0.000,0.000,4.34,1,,,
689.8945,52.0483227,-0.7489983,138.50,0.000,0.000,4.34,1,,,
690.8924,52.0483268,-0.7489903,138.40,0.000,0.000,4.34,1,,,
691.8872,52.0483273,-0.7489847,138.40,0.000,0.000,4.34,1,,,
692.8751,52.0483312,-0.7489783,137.90,0.000,0.000,4.34,1,,,
693.8859,52.0483365,-0.7489705,137.40,0.000,0.000,4.34,1,,,
694.8944,52.0483362,-0.7489708,136.70,0.000,0.000,4.33,1,,,
695.8603,52.0483437,-0.7489670,135.70,0.000,0.000,4.33,1,,,
696.8876,52.0483535,-0.7489598,134.90,0.000,0.000,4.33,1,,,
697.8807,52.0483572,-0.7489527,134.30,0.000,0.000,4.33,1,,,
698.8959,52.0483585,-0.7489483,134.00,0.000,0.000,4.33,1,,,
699.8876,52.0483602,-0.7489440,133.60,0.000,0.000,4.33,1,,,
700.8664,52.0483667,-0.7489418,133.00,0.000,0.000,4.33,1,,,
701.8964,52.0483743,-0.7489400,132.60,0.000,0.000,4.33,1,,,
702.8878,52.0483785,-0.7489387,132.40,0.000,0.000,4.33,1,,,
703.8858,52.0483747,-0.7489388,132.70,0.000,0.000,4.33,1,,,
704.8942,52.0483757,-0.7489382,132.60,0.000,0.000,4.33,1,,,
705.8708,52.0483825,-0.7489343,131.70,0.000,0.000,4.33,1,,,
706.8876,52.0483883,-0.7489317,131.40,0.000,0.000,4.32,1,,,
707.8814,52.0483918,-0.7489298,131.40,0.000,0.000,4.32,1,,,
708.8844,52.0483953,-0.7489278,131.10,0.000,0.000,4.32,1,,,
709.8938,52.0483958,-0.7489243,131.00,0.000,0.000,4.32,1,,,
710.8920,52.0484008,-0.7489205,130.50,0.000,0.000,4.32,1,,,
711.8905,52.0483983,-0.7489180,130.50,0.000,0.000,4.32,1,,,
712.8803,52.0483982,-0.7489165,130.20,0.000,0.000,4.32,1,,,
713.8856,52.0484017,-0.7489140,129.60,0.000,0.000,4.32,1,,,
714.8929,52.0484097,-0.7489108,128.70,0.000,0.000,4.32,1,,,
715.8557,52.0484118,-0.7489077,128.20,0.000,0.000,4.32,1,,,
716.8861,52.0484143,-0.7489048,127.70,0.000,0.000,4.32,1,,,
717.8791,52.0484167,-0.7489020,127.30,0.000,0.000,4.32,1,,,
718.8985,52.0484218,-0.7489010,126.70,0.000,0.000,4.31,1,,,
719.8938,52.0484237,-0.7489002,126.50,0.000,0.000,4.31,1,,,
720.8986,52.0484257,-0.7488997,126.20,0.000,0.000,4.31,1,,,
721.8974,52.0484272,-0.7488992,125.90,0.000,0.000,4.31,1,,,
722.8577,52.0484297,-0.7488978,125.50,0.000,0.000,4.31,1,,,
723.8856,52.0484343,-0.7488958,124.60,0.000,0.000,4.31,1,,,
724.8895,52.0484412,-0.7488935,123.60,0.000,0.000,4.31,1,,,
725.8852,52.0484462,-0.7488912,122.80,0.000,0.000,4.31,1,,,
726.8930,52.0484492,-0.7488897,122.00,0.000,0.000,4.31,1,,,
