t,dt,ax,ay,az,gx,gy,gz
669.1549,0.00006,-0.35406,0.18088,-9.76129,-0.107917,-0.001466,0.006395
669.2134,0.05852,-0.34220,0.15937,-9.76365,-0.110715,0.000666,0.005063
669.2273,0.01386,-0.33270,0.19522,-9.86762,-0.109916,-0.001199,0.001199
669.2409,0.01358,-0.33745,0.08049,-9.77547,-0.105253,0.000799,0.001599
669.2545,0.01362,-0.32558,0.15219,-9.81800,-0.103121,-0.032908,0.005995
669.2680,0.01354,-0.37543,0.17132,-9.67386,-0.102188,0.001865,0.004130
669.2855,0.01747,-0.34932,0.21434,-9.79673,-0.112181,0.000533,0.004663
669.3319,0.04645,-0.30896,0.13068,-9.69040,-0.104853,-0.001199,0.003331
669.3450,0.01306,-0.30896,0.15697,-9.75184,-0.110982,0.004130,0.002798
669.3580,0.01294,-0.31608,0.12112,-9.72112,-0.107651,-0.000133,0.001998
669.3708,0.01286,-0.33033,0.17132,-9.76365,-0.107651,0.001466,0.005063
669.3877,0.01685,-0.32083,0.08766,-9.77074,-0.104320,-0.000400,0.004130
669.4009,0.01320,-0.32083,0.14502,-9.80146,-0.106718,0.001865,0.006795
669.4140,0.01313,-0.35881,0.31712,-9.85581,-0.106851,0.033041,0.002132
669.4607,0.04668,-0.31371,0.09005,-9.80146,-0.108184,0.002798,0.003064
669.4738,0.01316,-0.35169,0.17849,-9.76365,-0.105919,-0.033308,0.005596
669.4907,0.01689,-0.35644,0.14263,-9.84872,-0.104453,0.002398,0.004530
669.5038,0.01312,-0.25674,0.11634,-9.70458,-0.103521,0.002398,0.004397
669.5170,0.01312,-0.35881,0.14263,-9.72112,-0.112181,0.001332,0.003464
669.5301,0.01314,-0.30184,0.10439,-9.81091,-0.107651,-0.033574,0.004397
669.5431,0.01305,-0.35406,0.21434,-9.70694,-0.104587,0.001199,0.003464
669.5898,0.04670,-0.36119,0.20000,-9.80855,-0.107651,0.000533,0.001732
669.6067,0.01686,-0.34220,0.18805,-9.76838,-0.104853,0.000666,0.003331
669.6198,0.01312,-0.37780,0.15458,-9.66441,-0.104054,0.001199,0.001199
669.6329,0.01307,-0.30421,0.13546,-9.78019,-0.105386,0.000266,0.007194
