t,mag_x,mag_y,mag_z,yaw_mag_deg,yaw_filter_deg,accepted
669.1549,-16.8,-104.6,-321.5,93.09,93.09,1
669.2680,-14.7,-104.6,-314.7,92.02,92.23,1
669.3708,-17.9,-110.4,-312.7,93.45,92.79,1
669.4738,-15.8,-107.5,-313.7,92.48,92.70,1
669.5898,-21.0,-106.5,-315.7,95.06,93.49,1
669.7187,-15.8,-113.4,-308.8,92.26,93.19,1
669.8495,-15.8,-106.5,-310.8,92.08,92.84,1
669.9814,-15.8,-104.6,-311.8,92.03,92.53,1
670.1109,-18.9,-106.5,-310.8,93.70,92.88,1
670.2452,-16.8,-108.5,-310.8,92.69,92.81,1
670.3790,-16.8,-105.6,-310.8,92.76,92.79,1
670.5137,-15.8,-113.4,-308.8,92.18,92.60,1
670.6476,-15.8,-110.4,-313.7,91.87,92.37,1
670.7802,-14.7,-108.5,-316.6,91.39,92.06,1
670.9181,-15.8,-105.6,-312.7,92.41,92.07,1
671.0530,-15.8,-110.4,-313.7,92.28,92.06,1
671.1863,-17.9,-109.5,-313.7,93.36,92.30,1
671.3204,-18.9,-108.5,-313.7,93.90,92.61,1
671.4557,-15.8,-104.6,-316.6,92.29,92.53,1
671.5883,-14.7,-107.5,-312.7,91.86,92.38,1
671.7233,-16.8,-105.6,-308.8,92.80,92.44,1
671.8578,-14.7,-106.5,-313.7,91.54,92.29,1
671.9938,-18.9,-106.5,-316.6,94.76,92.70,1
672.1312,-18.9,-107.5,-314.7,94.12,92.94,1
672.2677,-11.6,-107.5,-311.8,90.82,92.62,1
672.4000,-17.9,-106.5,-311.8,94.21,92.85,1
672.5361,-18.9,-105.6,-312.7,94.71,93.12,1
672.6724,-14.7,-110.4,-309.8,92.34,93.04,1
672.8050,-15.8,-104.6,-315.7,92.73,93.00,1
672.9440,-15.8,-102.6,-314.7,92.83,92.99,1
673.0681,-14.7,-108.5,-312.7,92.16,92.91,1
673.2004,-15.8,-105.6,-313.7,92.66,92.88,1
673.3368,-17.9,-111.4,-313.7,93.59,92.97,1
673.4734,-15.8,-108.5,-313.7,92.71,92.94,1
673.6110,-15.8,-104.6,-314.7,92.98,92.95,1
673.7437,-15.8,-103.6,-314.7,93.18,92.99,1
673.8810,-16.8,-103.6,-310.8,93.81,93.08,1
674.0197,-15.8,-106.5,-311.8,93.32,93.11,1
674.1535,-18.9,-103.6,-314.7,95.07,93.32,1
674.2904,-15.8,-109.5,-313.7,93.13,93.31,1
674.4264,-17.9,-104.6,-314.7,94.16,93.42,1
674.5589,-15.8,-105.6,-313.7,92.93,93.39,1
674.6947,-15.8,-108.5,-315.7,92.80,93.35,1
674.8317,-14.7,-105.6,-315.7,92.39,93.28,1
674.9694,-15.8,-109.5,-313.7,92.98,93.27,1
675.1024,-21.0,-106.5,-314.7,95.72,93.50,1
675.2410,-15.8,-103.6,-311.8,92.98,93.48,1
675.3774,-13.7,-104.6,-314.7,91.83,93.36,1
675.5094,-15.8,-107.5,-314.7,92.74,93.29,1
675.6455,-14.7,-102.6,-313.7,92.14,93.21,1
